#2019-09-21
post_id,author_id,published_at,image_count,favorites,comments
16153444,1845744,2018-01-02 14:22:24,7,15,2
16153444,1845744,2018-01-02 14:22:24,7,15,2
17297074,2880170,2018-04-02 07:41:26,9,21,0
17297092,2321954,2018-04-02 07:42:37,9,27,3
15386069,2558082,2017-09-20 19:32:42,16,4,0
16866346,2347716,2018-03-10 22:07:59,6,16,0
14843598,1322115,2017-06-23 21:57:15,4,5,1
19021059,1445574,2018-06-01 10:25:15,9,16,1
14879468,1949573,2017-06-30 23:31:42,5,0,0
22650336,2565292,2018-10-03 07:49:08,3,16,1
14739871,1321092,2017-06-06 00:05:21,13,2,0
14781635,1295936,2017-06-12 13:13:52,7,17,0
15958688,2370355,2017-12-11 21:11:48,9,40,1
16661917,3169434,2018-02-25 16:52:24,6,30,2
18902556,3047686,2018-05-27 01:51:04,4,14,0
27251328,4936313,2019-02-06 23:56:39,9,9,0
39149758,1581966,2019-06-15 10:43:14,26,265,3
15087233,1431271,2017-08-04 13:14:31,28,33,1
12735671,462308,2015-10-21 14:59:21,40,2,0
14589810,1329499,2017-05-13 06:16:48,6,7,2
19167139,2732542,2018-06-08 08:35:17,1,21,4
18814826,2589272,2018-05-23 09:14:54,8,21,3
18831640,3267152,2018-05-23 23:14:32,9,10,3
20769867,1117944,2018-08-12 13:25:52,9,16,4
23671240,2759902,2018-10-28 02:16:01,11,15,0
14196470,1571199,2017-03-05 21:35:31,11,9,0
14565796,1745072,2017-05-09 01:00:34,9,2,0
18387224,2287759,2018-05-06 21:19:19,6,20,0
18258144,2732542,2018-05-02 16:52:30,1,14,1
14813314,1908719,2017-06-18 09:42:48,9,7,0
21293289,3759182,2018-08-29 08:13:02,10,10,1
31854332,2573616,2019-04-29 19:59:30,14,551,6
15232415,1038102,2017-08-26 01:28:51,7,17,0
17616221,1849233,2018-04-13 16:11:42,9,25,0
13556445,1127478,2016-09-30 11:46:35,17,0,0
21018804,1821421,2018-08-21 16:32:13,6,23,1
22378416,474733,2018-09-25 18:59:27,6,17,1
14186195,394696,2017-03-03 22:24:49,17,19,1
16264010,3030875,2018-01-15 22:03:41,3,3,0
13295264,1188847,2016-07-15 11:10:56,9,0,0
17871958,3225920,2018-04-20 08:44:10,9,20,2
20789232,3453943,2018-08-13 12:06:17,6,23,1
21353538,2721578,2018-08-30 14:44:54,18,23,2
14144910,1321092,2017-02-24 00:49:41,1,6,0
31996801,2573616,2019-05-02 13:31:38,2,67,0
17440539,436217,2018-04-07 21:27:36,18,22,2
16648064,2653028,2018-02-24 18:21:25,11,13,3
19156812,3496479,2018-06-07 18:48:20,8,20,1
22399291,3231294,2018-09-26 08:32:10,21,16,4
14851534,409644,2017-06-25 14:29:10,21,79,6
16741403,2352233,2018-03-02 22:51:48,1,18,1
13729961,1621830,2016-11-16 23:56:13,4,5,0
14331629,1796709,2017-03-30 19:29:16,7,0,0
18733538,1492356,2018-05-20 00:01:36,14,17,1
23228777,3346148,2018-10-16 14:36:40,10,16,2
6921464,446241,2014-10-15 03:13:36,5,0,0
20781709,1821421,2018-08-13 00:37:22,3,7,1
22596206,1668382,2018-10-01 18:45:33,3,29,4
23905140,1304307,2018-11-02 21:37:41,17,18,0
13569289,374081,2016-10-04 17:24:05,9,2,0
18527232,319357,2018-05-11 15:48:34,10,496,14
14272635,1743231,2017-03-20 08:05:03,7,1,0
20117202,2728626,2018-07-21 03:35:39,1,12,0
18258287,2732542,2018-05-02 16:57:48,1,18,1
17720726,2509232,2018-04-16 19:45:45,1,16,1
12911623,444535,2016-03-03 18:37:02,5,1,0
20790386,2400096,2018-08-13 12:37:44,5,20,1
31094143,2573616,2019-04-15 20:02:40,9,27,0
23107222,2589919,2018-10-13 09:41:44,1,18,1
21398881,3493204,2018-08-31 20:46:44,9,16,1
14815683,374081,2017-06-18 18:15:14,2,11,1
18263883,2733695,2018-05-02 20:58:46,27,17,1
15854401,2752194,2017-11-29 13:30:26,3,4,0
15428668,1589161,2017-09-27 22:34:41,4,2,0
19479503,1399196,2018-06-22 14:46:27,1,20,2
15043219,420911,2017-07-28 19:27:12,4,12,0
14371794,1118121,2017-04-06 10:06:07,9,8,0
23049523,474733,2018-10-11 23:18:11,3,11,2
13945917,1353474,2017-01-11 17:03:36,6,2,5
29207350,2928360,2019-03-27 01:45:30,1,14,0
29060513,1457607,2019-03-23 16:53:44,3,15,0
29060513,1457607,2019-03-23 16:53:44,3,15,0
16403419,1537929,2018-02-02 13:42:23,1,14,1
15575959,2307061,2017-10-21 11:06:58,2,3,0
15495622,1848705,2017-10-09 03:50:06,2,1,0
22598934,2794987,2018-10-01 20:30:03,1,9,2
18005934,2673128,2018-04-24 13:49:28,2,46,0
14721849,1894179,2017-06-03 11:33:29,8,8,0
23054954,1804028,2018-10-12 02:29:03,2,10,0
18457068,1921204,2018-05-09 09:22:36,2,27,4
16634580,2653028,2018-02-23 21:15:58,1,8,2
15602178,2307061,2017-10-25 09:38:19,2,2,0
44970002,3304727,2019-07-18 16:58:25,1,15,0
15003336,1685078,2017-07-22 15:02:43,1,11,0
14874783,1457607,2017-06-30 00:03:04,2,1,0
23068640,3381553,2018-10-12 12:09:41,1,22,2
26103820,3536991,2019-01-05 20:41:00,1,19,0
12996317,982437,2016-04-12 21:15:02,9,1,0
